,Unnamed: 0,PMISYR,SYSTEM,PAVTYP,CONYR,PMIS_LENGTH,LANE_MILES,PCI_2,IRI_INDX,CRACK_INDX,IRI,FRICT,FAULTAV,RUT,CRACK_RATIO,T_INDX,ACRACKH,ACRACKM,ACRACKL,TCRACKH,TCRACKM,TCRACKL,LCRACKH,LCRACKM,LCRACKL,LCRACKWH,LCRACKWM,LCRACKWL,DCRACKH,DCRACKM,DCRACKL,JTSPALLH,JTSPALLM,JTSPALL_LONG,JTSPALL_TRANS,PATCHAB,PATCHAG,PATCHES,AADT,TRUCKS,LANES,SPEED,SURFACE_TYPE,PAVTHICK,TACCDPTH,TPCCDPTH,BASEDPTH,TREATMENT,crash_count
30,30,2022,3,4,1942.0,1.0,2.04,78.0,73.0,89.0,91.77,45.0,0.028624020087217296,0.17,10.62,37.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,61.0,215.0,27.3978533461758,5.0,82.0,61.51489311706678,35.0,229.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,1410.0,187.0,2.0,55.0,69,10.5,11.0,9.186688249960618,6.0,MS,4
31,31,2022,3,1,2022.0,6.09,12.18,87.0,69.0,79.44217507182603,101.14,50.4401533018868,0.028624020087217296,0.1301202743446321,22.823510061817487,70.86870317179512,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,39.01829500234082,212.15784691500377,27.3978533461758,237.30891516107968,734.4432053040512,61.51489311706678,279.90047538169455,1061.3347857808894,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,2045.0,239.0,2.0,55.0,69,9.5,7.564214440483373,10.0,6.0,PC,28
32,32,2022,3,3,1928.0,0.52,1.04,80.0,76.0,88.0,85.05,57.0,0.028624020087217296,0.13,11.73,64.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,81.0,171.0,27.3978533461758,237.30891516107968,12.0,61.51489311706678,221.0,825.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,84.0,179.0,8.0,2520.0,254.0,2.0,35.0,65,10.5,4.0,7.0,8.058262907272029,AC,5
33,33,2022,3,3,1928.0,0.44,0.89,51.0,52.0,62.0,139.11,62.0,0.028624020087217296,0.35,37.81,20.0,58.31092601102941,1205.0,88.0,6.0046654608463035,290.0,209.0,27.3978533461758,343.0,727.0,61.51489311706678,2139.0,3078.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,32.0,2.0,2440.0,273.0,2.0,55.0,65,11.0,4.0,7.0,8.058262907272029,AC,8
34,34,2022,3,3,1952.0,6.2,12.41,57.0,53.0,72.0,135.73,62.0,0.0005,0.3,28.16,30.0,58.31092601102941,67.0,8.0,6.0046654608463035,234.0,214.0,27.3978533461758,461.0,1364.0,61.51489311706678,765.0,1348.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,360.0,224.0,4.0,2480.0,280.0,2.0,55.0,65,12.5,4.0,9.0,8.058262907272029,AC,63
35,35,2022,3,3,1952.0,4.02,8.16,59.0,53.0,72.0,135.43,60.0,0.028624020087217296,0.26,28.03,32.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,196.0,256.0,27.3978533461758,479.0,1328.0,61.51489311706678,505.0,1453.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,751.0,118.0,4.0,3569.0,391.0,2.0,55.0,65,12.5,4.0,9.0,8.058262907272029,AC,61
36,36,2022,3,3,1956.0,3.09,6.44,83.0,82.0,84.0,71.25,60.0,0.028624020087217296,0.09,15.55,46.0,58.31092601102941,613.62939906637,230.0,6.0046654608463035,196.0,139.0,27.3978533461758,83.0,183.0,61.51489311706678,112.0,454.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,609.0,67.0,2.0,3940.0,613.0,2.0,55.0,61,13.0,4.0,10.0,8.058262907272029,AC,93
37,37,2022,3,4,1956.0,9.6,19.42,78.0,91.0,67.0,51.1,56.0,0.028624020087217296,0.13,33.21,22.0,58.31092601102941,613.62939906637,27.0,6.0046654608463035,3.0,374.0,27.3978533461758,14.0,2312.0,61.51489311706678,24.0,1849.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,3955.0,654.0,2.0,55.0,60,13.5,14.0,9.186688249960618,6.0,AC,84
38,38,2022,3,4,1956.0,0.38,0.89,70.0,69.0,68.0,100.56,50.4401533018868,0.028624020087217296,0.11,31.82,28.0,58.31092601102941,613.62939906637,223.0,6.0046654608463035,39.01829500234082,347.0,27.3978533461758,36.0,3578.0,61.51489311706678,279.90047538169455,1831.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,5095.0,638.0,2.0,35.0,60,9.5,10.0,9.186688249960618,6.0,AC,18
39,39,2022,3,1,2017.0,0.31,0.95,62.0,48.0,70.0,147.45,49.0,0.029,0.07,29.77,64.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,9.0,72.0,22.0,28.0,127.0,61.51489311706678,279.90047538169455,569.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,6100.0,612.0,3.0,45.0,74,9.5,7.564214440483373,10.0,12.0,PC,15
40,40,2022,3,3,1951.0,1.58,3.16,92.0,94.0,96.0,45.16,47.0,0.028624020087217296,0.08,4.05,91.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,1.0,72.0,27.3978533461758,237.30891516107968,28.0,61.51489311706678,279.90047538169455,1061.3347857808894,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,6300.0,614.0,2.0,55.0,65,14.5,7.0,8.0,8.058262907272029,AC,40
41,41,2022,3,3,1951.0,1.3,2.6,91.0,92.0,94.0,48.85,50.0,0.028624020087217296,0.07,5.83,89.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,39.01829500234082,88.0,27.3978533461758,237.30891516107968,86.0,61.51489311706678,279.90047538169455,5.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,6400.0,626.0,2.0,55.0,65,17.5,10.0,8.0,8.058262907272029,AC,16
42,42,2022,3,3,1951.0,11.47,22.94,92.0,94.0,96.0,45.29,49.0,0.001,0.09,3.85,91.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,39.01829500234082,71.0,2.0,237.30891516107968,160.0,61.51489311706678,1.0,21.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,106.0,27.0,2.0,6729.0,626.0,2.0,55.0,65,14.5,7.0,8.0,8.058262907272029,AC,218
43,43,2022,3,3,1982.0,1.3,2.84,84.0,79.0,89.0,77.64,39.0,0.028624020087217296,0.08,10.58,70.0,58.31092601102941,613.62939906637,362.0,6.0046654608463035,4.0,238.0,27.3978533461758,42.0,415.0,61.51489311706678,279.90047538169455,240.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,92.0,82.0,2.0,7614.0,690.0,2.0,55.0,65,16.0,3.0,13.0,8.058262907272029,AC,376
44,44,2022,3,3,2005.0,1.16,2.76,81.0,81.0,79.0,73.29,39.0,0.028624020087217296,0.08,20.73,44.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,1.0,446.0,27.3978533461758,237.30891516107968,938.0,61.51489311706678,13.0,931.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,90.0,392.6735188891561,3.0,11600.0,930.0,2.0,45.0,65,13.0,3.0,10.0,6.0,AC,449
45,45,2022,3,3,1937.0,3.48,7.12,77.0,80.0,74.0,77.23,44.0,0.004,0.11,26.05,37.0,58.31092601102941,613.62939906637,978.3758490629483,6.0,118.0,317.0,4.0,21.0,38.0,9.0,489.0,748.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,1.0,1.0,,11.092266243472164,51.0,500.0,7.0,4143.0,343.0,2.0,55.0,65,19.0,12.0,8.0,8.058262907272029,AC,43
46,46,2022,3,3,1982.0,1.15,2.52,81.0,81.0,78.0,74.16,34.0,0.028624020087217296,0.07,22.05,45.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,3.0,441.0,27.3978533461758,20.0,841.0,61.51489311706678,10.0,847.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,195.0,392.6735188891561,4.0,8916.0,747.0,2.0,55.0,65,16.0,3.0,13.0,8.058262907272029,AC,277
47,47,2022,3,3,2005.0,1.17,2.78,81.0,86.0,77.0,62.96,29.0,0.028624020087217296,0.1,22.83,49.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,8.0,402.0,27.3978533461758,21.0,1852.0,61.51489311706678,3.0,863.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,11887.0,887.0,2.0,30.0,65,13.0,3.0,10.0,6.0,AC,443
48,48,2022,3,3,1933.0,1.18,2.36,46.0,17.0,56.0,214.97,50.4401533018868,0.0055,0.07,44.09,38.0,66.0,903.0,3311.0,14.0,16.0,444.0,51.0,1105.0,1430.0,187.0,1445.0,1908.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,14922.0,120.0,28.0,6300.0,132.0,2.0,25.0,60,9.0,5.0,4.0,8.058262907272029,AC,364
